username,caption,tanggal_posting,tagged_users,likes
ceritanupi,"SENESENENG BANGETTTTTTT ?? KITA JANGAN LENGAH YAAAAAAAA NG BANGETTTTTTT ?? KITA JANGAN LENGAH YAAAAAAAA",06/18/2025,greenpeaceid,203
merawatpapua,"Alhmdllh, tp jangan senang dulu min @greenpeaceid nanti kayak di sangihe, biarpun menang tp tambang tetap lanjut, jd kita tetap dipantau rame2 ya",06/18/2025,greenpeaceid,2278
anggirospidia,Kawal terus netijen! PT Gag harus berhenti!! Perjuangan untuk bumi pertiwi masih belum selesai!,06/18/2025,sesiminerba,315
hisan_k,Kekayaan Alam kita sedang diobral,06/18/2025,greenpeaceid,480
nadyasatriani,"Udah dianak tirikan, dirampas pula alamnya, miris",06/11/2025,greenpeaceid,436
cintyahelelnve,"sumpah, kasus ini paling bikin marah dan kecewa??",06/18/2025,greenpeaceid,73
papuabaru,"Jangan biarkan tambang merusak tanah Papua!",06/19/2025,greenpeaceid,150
iwanridwan,"Ini bkn ttg rajaampat saja, tp cakupan luas unt semua daerah lainnya.",06/26/2025,greenpeaceid,38
suarapapua,"Papua harus tetap hijau dan lestari!",06/20/2025,greenpeaceid,210
raypradana,"Mau dialog sampai berbusa melihat alam kita dibinasakan, atau.. ????????????",06/18/2025,whatisupindonesia,4
alamkita,"Jangan diam saja, ayo selamatkan Raja Ampat!",06/21/2025,greenpeaceid,98
man_setiawan,SAVE RAJA AMPAT??????,06/18/2025,bullart_design,4
savepapua,"Papua bukan tanah kosong, tolak tambang!",06/22/2025,bullart_design,67
musviraaa_,"Betul, Jangan ada tambang di tanah Rajaampat papua????",06/18/2025,bullart_design,2
bumipapua,"Bersatu untuk Papua yang lebih baik.",06/23/2025,greenpeaceid,120
deddyawfoa,PAPUA BUKAN TANAH KOSONG! ???,06/18/2025,bullart_design,1
gt_arch,PAPUA BUKAN TANAH KOSONG???????? Tolak TAMBANG DI TANAH PAPUA!!!,06/18/2025,bullart_design,2
suaraalam,"Jangan biarkan alam kita hancur karena tambang.",06/24/2025,greenpeaceid,88
orthisz_erkotanggiz,Tolak Segala bentuk Kejahatan NEGARA INDONESIA RAKUS DI PAPUA,06/18/2025,bullart_design,0
papuaku,"Papua milik kita semua, jaga bersama!",06/25/2025,greenpeaceid,134
bullart_design,TOLAK TAMBANG DI RAJA AMPAT!!!!??????sebuah keadaan darurat dari salah satu jantung indonesia timur. Daratan sekitar RAJA AMPAT telah di keruk oleh perusahaan tambang dan di LEGALKAN oleh pemerintah sendiri (miris).  oksigen yang buat kita hidup tak bisa di ganti dengan debu yang kita hirup!!,06/18/2025,kritikberkelas,209
rafatamlikha,"Smoga bisa hijau lagi.. Aamiin. Jaya Selalu Negeriku, Indonesia Emas 2045. Harapan atau Tantangan yang akan datang, akan selalu menunggu untuk dijemput kita semua ???",06/18/2025,rian.fahardhi,299
hijaukanpapua,"Hijaukan kembali tanah Papua!",06/26/2025,greenpeaceid,77
_elyoraputrii,"Rame dulu baru di hentikan, miris:(",06/18/2025,rian.fahardhi,637
greenpeaceid,"Ayo terus suarakan aspirasi untuk Papua!",06/15/2025,bullart_design,150
papuapride,"Papua kuat, Papua hebat!",06/27/2025,greenpeaceid,56
dheamw93,"Alhamdulillah, tapi tetap pantau, JANGAN LENGAH gaes!!!! #SAVERAJAAMPAT",06/18/2025,rian.fahardhi,638
jagapapua,"Jaga Papua untuk generasi mendatang.",06/28/2025,greenpeaceid,101
putrimeltaa,Tetep kawal yagesyaa jgn sampe kecolongan ??????,06/18/2025,rian.fahardhi,54
rian.fahardhi,"Terima kasih sudah mendukung gerakan ini!",06/29/2025,prabowo,123
bullart_design,"Kami akan terus mengawal isu ini bersama!",06/29/2025,kritikberkelas,99
